task_id,prompt,model_a file name,model_b file name,model_c file name,category
PY-013,"Compute a rolling average of closing_balance over the last 7 observations per account.",task13a.py,task13b.py,task13c.py,Medium
PY-014,"Compute a rolling 7-day sum of txn_amount for each account using a time-based window.",task14a.py,task14b.py,task14c.py,Medium
PY-015,"Add a previous_txn_amount feature within each account using shift.",task15a.py,task15b.py,task15c.py,Medium
PY-016,"Extract day_of_week, month, quarter, and is_weekend features from txn_date.",task16a.py,task16b.py,task16c.py,Medium
PY-017,"Build a three-DataFrame merge pipeline across accounts, transactions, and daily_balances and assert row counts at each step.",task17a.py,task17b.py,task17c.py,Medium
PY-018,"Flag rows where txn_date is earlier than account_open_date after joining accounts and transactions.",task18a.py,task18b.py,task18c.py,Medium
PY-019,"Deduplicate accounts by keeping the best row per account_id using a precedence rule over account_status.",task19a.py,task19b.py,task19c.py,Medium
PY-020,"Flag txn_amount outliers using the IQR rule.",task20a.py,task20b.py,task20c.py,Medium
PY-021,"Assign each account to a cohort based on account_open_date month.",task21a.py,task21b.py,task21c.py,Medium
PY-022,"Generate an audit log DataFrame capturing each transformation step and row counts before/after.",task22a.py,task22b.py,task22c.py,Medium
PY-023,"Build an end-to-end pipeline that ingests raw files, validates schema, deduplicates, engineers features, and writes outputs with logging.",task23a.py,task23b.py,task23c.py,Hard
PY-024,"Implement SCD Type 2 history tracking for account_status changes across account snapshots.",task24a.py,task24b.py,task24c.py,Hard
PY-025,"Flag rolling z-score anomalies in txn_amount within each account using a moving window.",task25a.py,task25b.py,task25c.py,Hard
PY-026,"Compute funnel drop-off from account creation to first transaction to first flagged transaction.",task26a.py,task26b.py,task26c.py,Hard
PY-027,"Calculate RFM scores (recency, frequency, monetary) for each account.",task27a.py,task27b.py,task27c.py,Hard
PY-028,"Flag likely churned accounts with no transactions in the last N days relative to the dataset max date.",task28a.py,task28b.py,task28c.py,Hard
PY-029,"Run a config-driven pipeline where thresholds and input paths come from YAML.",task29a.py,task29b.py,task29c.py,Hard
PY-030,"Write parameterized pytest cases covering null-heavy, duplicate-heavy, and clean variants for one transformation function.",task30a.py,task30b.py,task30c.py,Hard
